USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
473.00,1.3790,0.9621,0.4737,0.5734,0.7061,0.7534,0.7392,0.7534,0.4171,0.7866,0.8980,1.0499,1.1159,0.7275,0.6233,0.4266,0.8033,0.8030,0.6066,0.6018
474.00,1.3850,0.9622,0.4713,0.5770,0.7033,0.7533,0.7358,0.7533,0.4166,0.7858,0.8972,1.0539,1.1215,0.7265,0.6244,0.4295,0.8008,0.7997,0.6095,0.6048
475.00,1.3783,0.9506,0.4640,0.5685,0.7005,0.7416,0.7323,0.7505,0.4049,0.7734,0.8916,1.0507,1.1190,0.7187,0.6141,0.4185,0.7914,0.7914,0.6005,0.6005
476.00,1.3821,0.9485,0.4647,0.5672,0.7022,0.7468,0.7334,0.7512,0.4055,0.7792,0.8963,1.0510,1.1236,0.7200,0.6175,0.4202,0.7913,0.7926,0.6029,0.6016
477.00,1.3781,0.9479,0.4654,0.5634,0.7034,0.7471,0.7317,0.7491,0.4019,0.7797,0.8999,1.0483,1.1249,0.7209,0.6158,0.4217,0.7907,0.7951,0.5984,0.5940
478.00,1.3831,0.9497,0.4685,0.5659,0.7036,0.7497,0.7326,0.7497,0.4077,0.7830,0.9061,1.0548,1.1284,0.7274,0.6138,0.4257,0.7958,0.7967,0.6034,0.5992
479.00,1.3781,0.9494,0.4620,0.5589,0.7015,0.7477,0.7311,0.7438,0.4034,0.7774,0.9034,1.0548,1.1303,0.7267,0.6133,0.4200,0.7939,0.7940,0.6009,0.5967
480.00,1.3806,0.9449,0.4580,0.5621,0.6979,0.7432,0.7308,0.7473,0.4033,0.7779,0.9037,1.0613,1.1324,0.7226,0.6115,0.4169,0.7885,0.7926,0.6021,0.5980
481.00,1.3813,0.9404,0.4571,0.5622,0.6978,0.7423,0.7302,0.7463,0.3984,0.7706,0.9021,1.0598,1.1326,0.7199,0.6107,0.4145,0.7846,0.7908,0.5986,0.5946
482.00,1.3781,0.9383,0.4557,0.5557,0.6970,0.7407,0.7288,0.7446,0.3961,0.7685,0.9057,1.0574,1.1320,0.7169,0.6065,0.4152,0.7835,0.7883,0.5946,0.5906
483.00,1.3791,0.9376,0.4533,0.5510,0.6957,0.7424,0.7267,0.7422,0.3947,0.7699,0.9028,1.0552,1.1369,0.7152,0.6055,0.4142,0.7853,0.7857,0.5938,0.5899
484.00,1.3789,0.9363,0.4541,0.5528,0.6987,0.7421,0.7278,0.7393,0.3965,0.7728,0.9083,1.0630,1.1359,0.7202,0.6038,0.4157,0.7854,0.7920,0.5923,0.5885
485.00,1.3769,0.9369,0.4513,0.5498,0.6933,0.7386,0.7252,0.7365,0.3967,0.7688,0.9067,1.0636,1.1353,0.7197,0.6006,0.4136,0.7818,0.7876,0.5913,0.5876
486.00,1.3769,0.9308,0.4454,0.5456,0.6925,0.7341,0.7222,0.7363,0.3934,0.7638,0.9041,1.0629,1.1364,0.7156,0.5998,0.4112,0.7749,0.7853,0.5923,0.5857
487.00,1.3761,0.9271,0.4452,0.5473,0.6900,0.7336,0.7228,0.7338,0.3868,0.7593,0.9054,1.0622,1.1388,0.7117,0.5984,0.4053,0.7739,0.7775,0.5875,0.5838
488.00,1.3734,0.9236,0.4426,0.5418,0.6897,0.7302,0.7220,0.7327,0.3843,0.7589,0.9068,1.0597,1.1360,0.7087,0.5931,0.4068,0.7721,0.7768,0.5823,0.5787
489.00,1.3716,0.9208,0.4418,0.5368,0.6885,0.7307,0.7182,0.7288,0.3820,0.7589,0.9067,1.0564,1.1339,0.7077,0.5916,0.4086,0.7695,0.7784,0.5810,0.5775
490.00,1.3722,0.9206,0.4413,0.5346,0.6868,0.7283,0.7172,0.7276,0.3825,0.7587,0.9095,1.0610,1.1343,0.7096,0.5872,0.4074,0.7719,0.7767,0.5796,0.5761
491.00,1.3684,0.9166,0.4343,0.5330,0.6823,0.7230,0.7130,0.7232,0.3802,0.7502,0.9064,1.0627,1.1305,0.7061,0.5839,0.4037,0.7637,0.7739,0.5771,0.5737
492.00,1.3695,0.9124,0.4294,0.5317,0.6792,0.7192,0.7125,0.7215,0.3764,0.7459,0.9034,1.0600,1.1287,0.7015,0.5826,0.3984,0.7592,0.7692,0.5750,0.5716
493.00,1.3692,0.9085,0.4314,0.5293,0.6781,0.7191,0.7107,0.7191,0.3726,0.7434,0.9056,1.0591,1.1309,0.6995,0.5816,0.3969,0.7564,0.7662,0.5718,0.5685
494.00,1.3669,0.9044,0.4311,0.5245,0.6770,0.7187,0.7117,0.7187,0.3708,0.7411,0.9070,1.0601,1.1305,0.6968,0.5784,0.3985,0.7565,0.7687,0.5688,0.5656
495.00,1.3641,0.9022,0.4274,0.5216,0.6757,0.7165,0.7071,0.7134,0.3707,0.7416,0.9084,1.0562,1.1282,0.6977,0.5750,0.3992,0.7544,0.7669,0.5656,0.5624
496.00,1.3628,0.9024,0.4256,0.5189,0.6737,0.7137,0.7045,0.7096,0.3681,0.7383,0.9085,1.0572,1.1249,0.6952,0.5712,0.3979,0.7527,0.7660,0.5629,0.5598
497.00,1.3615,0.8994,0.4226,0.5177,0.6715,0.7107,0.7017,0.7064,0.3666,0.7348,0.9054,1.0566,1.1229,0.6926,0.5690,0.3937,0.7469,0.7620,0.5630,0.5582
498.00,1.3598,0.8951,0.4185,0.5154,0.6683,0.7067,0.6979,0.7062,0.3625,0.7303,0.9034,1.0563,1.1213,0.6890,0.5656,0.3915,0.7421,0.7569,0.5597,0.5562
499.00,1.3577,0.8858,0.4140,0.5119,0.6658,0.7005,0.6976,0.7005,0.3586,0.7266,0.9034,1.0509,1.1176,0.6830,0.5615,0.3878,0.7383,0.7526,0.5555,0.5499
500.00,1.3520,0.8831,0.4132,0.5038,0.6633,0.6991,0.6944,0.6972,0.3529,0.7236,0.9038,1.0482,1.1152,0.6784,0.5576,0.3849,0.7369,0.7491,0.5491,0.5463
501.00,1.3499,0.8822,0.4134,0.5021,0.6617,0.7005,0.6921,0.6949,0.3524,0.7226,0.9044,1.0473,1.1127,0.6783,0.5547,0.3857,0.7353,0.7508,0.5464,0.5437
502.00,1.3489,0.8812,0.4112,0.5002,0.6598,0.6977,0.6896,0.6923,0.3538,0.7217,0.9029,1.0461,1.1090,0.6783,0.5518,0.3864,0.7330,0.7492,0.5459,0.5432
503.00,1.3463,0.8787,0.4060,0.4990,0.6557,0.6904,0.6853,0.6877,0.3503,0.7167,0.9028,1.0438,1.1072,0.6743,0.5496,0.3821,0.7275,0.7459,0.5417,0.5415
504.00,1.3444,0.8729,0.4023,0.4949,0.6523,0.6878,0.6861,0.6861,0.3461,0.7120,0.9006,1.0434,1.1039,0.6688,0.5476,0.3781,0.7241,0.7406,0.5398,0.5373
505.00,1.3407,0.8666,0.4001,0.4889,0.6493,0.6823,0.6823,0.6823,0.3402,0.7062,0.8985,1.0396,1.0991,0.6620,0.5422,0.3747,0.7178,0.7356,0.5331,0.5321
506.00,1.3362,0.8628,0.3989,0.4859,0.6470,0.6814,0.6793,0.6793,0.3372,0.7038,0.8993,1.0364,1.0956,0.6594,0.5381,0.3740,0.7162,0.7356,0.5302,0.5260
507.00,1.3328,0.8587,0.3941,0.4816,0.6421,0.6785,0.6739,0.6737,0.3356,0.7006,0.8978,1.0338,1.0899,0.6545,0.5326,0.3723,0.7125,0.7322,0.5253,0.5229
